gene_symbol	D_meta	P_diffusion	group
TACSTD2	6.672343310572084	0.0005832870217627266	CAP_up
EFNA4	0.9468659306541194	0.0005801974390833183	background
EFNA1	-0.1998719855829699	0.000574805374208343	background
TGFB1I1	1.425205509678059	0.0005739716319870961	CAP_up
ABCB4	-5.625036847413967	0.0005732440425006887	CAP_down
NFATC2IP	-0.8676499429220539	0.0005731475158088794	background
VEGFC	0.9906130599824736	0.0005724386592139963	background
TPCN1	-2.082459575832956	0.0005704512157975895	CAP_down
AMY2B	-0.6166580167057254	0.0005693026205057737	background
ZNF217	0.4237780838042831	0.0005690946706017561	background
FKBP4	-0.0998151592161215	0.000568713925322556	background
PDGFA	0.0907334604154582	0.0005656608010781192	background
CTSK	0.9120134037733696	0.0005632145708973998	background
SLC16A4	1.2710123154428226	0.000563207602809638	CAP_up
STS	1.1105914126803893	0.0005628705221895733	CAP_up
PDGFD	-7.804402648848031	0.0005622284548195443	CAP_down
KLF3	0.134433484634858	0.0005618318896828292	background
ARNT	1.2373150003935605	0.0005613638570094066	CAP_up
VKORC1L1	0.0522938741410262	0.0005612009745745718	background
GRB10	20.196432105813923	0.0005589290994471385	CAP_up
FAM53C	8.724397568511955	0.0005587313330062641	CAP_up
EREG	0.6649974740033823	0.0005575143315768921	background
DNPEP	-1.594665553189191	0.0005542699270287502	CAP_down
CTSC	0.4087078573167048	0.0005538749969906799	background
USP47	-0.0870563437813375	0.0005537193331439838	background
ABCC2	2.67786576753642	0.0005528327165723494	CAP_up
ZBTB24	-2.959497830305791	0.0005528086313528252	CAP_down
CITED2	0.690529880526619	0.000552155445767275	background
APBA3	0.0348136279371685	0.0005513421509424231	background
PTGFR	10.576037727011377	0.0005503377020862128	CAP_up
PDGFC	2.9517115108358096	0.000547483604818878	CAP_up
BNIPL	1.1949830987299472	0.000546625385764086	CAP_up
GAB2	5.407288753257795	0.0005463638380086077	CAP_up
SLC2A5	2.080937163719792	0.0005453504729709637	CAP_up
PRG4	-0.1010121442082944	0.0005427607498549614	background
LILRA2	7.671793810894187	0.0005424684266123642	CAP_up
LTA4H	7.356969871751504	0.0005385566927176671	CAP_up
FAM120C	-5.977219977743431	0.0005366908793411101	CAP_down
HIKESHI	-0.0915361075492725	0.0005362958081570007	background
NUDT13	-5.300174372949362	0.0005351304750611086	CAP_down
DNAJC18	-1.3392758052513485	0.0005344692651039833	CAP_down
AKIP1	-0.2332947293394977	0.0005342755711934975	background
SAFB2	0.4439677031744107	0.0005341571917885484	background
ZBTB7A	0.0286626695097036	0.0005330993322406274	background
HRK	-0.5958350725715211	0.0005315689933793507	background
NFKBID	1.421544011677352	0.0005303678969738885	CAP_up
PLA2G2D	-0.1244925378320157	0.0005297947679355229	background
PTGIR	-0.0380381432036392	0.0005283011055867298	background
ILKAP	-0.3176767681164514	0.0005245681846133218	background
GAB1	0.7726253165012482	0.0005241234192974202	background
APPL1	-0.5210746185673477	0.0005237594382819786	background
TTC4	-3.240919233209494	0.0005236109075467068	CAP_down
TENT5C	-0.0208908553692304	0.0005233025853955897	background
QRICH1	-0.7069881681302246	0.0005230686264051129	background
HELQ	-0.1922320825201884	0.0005221013333439535	background
CCDC170	-0.0487583994905623	0.0005215754438137659	background
PDGFB	-1.4840175494900594	0.0005205115866467589	CAP_down
NCOA3	1.086544483753297	0.0005201666833519026	CAP_up
NECAB3	0.0807789584120176	0.0005197524998361637	background
ANGPT1	-1.0508780282978858	0.0005196496089338196	CAP_down
CHRNA2	0.3908847699169698	0.000518815078235723	background
DAGLB	0.3592807126863562	0.0005188013002269027	background
PTPRU	0.5321952635910058	0.000518510442847898	background
ZNF638	0.0629338091440656	0.0005129676553823251	background
RCOR3	0.0577432065719749	0.0005127023470358698	background
OLAH	15.501869912961308	0.0005117805960614861	CAP_up
G0S2	10.737683806904847	0.0005116642497314093	CAP_up
ZNF644	-0.4733440679701945	0.0005112117620337963	background
ASIC3	-0.3802561550274754	0.0005102164141424251	background
LTB4R	13.847208010244742	0.0005059695526730494	CAP_up
BIK	8.12197232935152	0.0005058724654244559	CAP_up
ESD	-0.0088431720829964	0.0005058345161890384	background
CEP57	-0.7129827151549821	0.000504554248999108	background
DDAH2	15.555159293196027	0.0005038654903930812	CAP_up
DMTF1	-0.0829892201293134	0.0005034348772692466	background
